text,outcome
"Govt Giving Rs 1.2 L to Workers Employed From 1990-2020? Well, No",fake
Video of COVID-19 Mock Drill in Colombia Shared as Real Incident,fake
Sambit Patra Shares Clipped Video of Rahul Gandhi to Mock Him,fake
"No Link to Ramzan, Viral Clip Shows Argument Between Cops & Abuser",fake
Viral Clip of Mayhem Outside Delhi Liquor Store – It is From Feb,fake
IAF Helicopter Showered Petals on Migrant Workers? Not Really,fake
Surat Video Viral As ‘People Gathering Near Mosque in Delhi’,fake
‘Fake’: Jio on Viral Message Claiming 25 GB Free Data For 6 Months,fake
Muslims Attacked Cops in Maharashtra’s Malegaon? It’s Fake News,fake
BMC’s Appeal in 2018 to Drink Boiled Water Shared Amid COVID-19,fake
WebQoof Recap: Fake Claims Around Bandra Migrant Crisis & More,fake
Still From TV Show Used to Claim Over 200 Medics Died in Italy,fake
Old Video Shared As Collapse of Lockdown Situation in South Africa,fake
"No, a US Prof Wasn’t Arrested for ‘Selling’ Coronavirus to China",fake
"Bodies of COVID-19 Patients Dumped in Sea? No, Video is From 2014",fake
Can a WhatsApp Admin Be Arrested for Sharing Info on COVID-19?,fake
Does 5G Tech Spread Coronavirus? Miscreants Set UK Towers on Fire,fake
Burning Candles Kills Coronavirus? PM’s Message Given False Spin,fake
CAA Protest Video Shared as Hyderabad Muslims Defying Lockdown,fake
"COVID-19: Old Report Shared as Azim Premji Donating 50,000 Cr",fake
"Is This a Prank  to Keep Goans Inside Amid Lockdown? No, Old Clip",fake
"This is Not Corona-Hit Italy, the Photos are of Croatia Earthquake",fake
"No, Kanika Kapoor Did Not Infect Prince Charles With COVID-19",fake
Did Indian Army Set Up 1000-Bed Quarantine Facility in Barmer? No!,fake
"No, This Isn’t the Italian President Crying Over COVID-19 Deaths",fake
Did Saddam Say US Threatened Iraq With Coronavirus in 1990s? No!,fake
COVID-19: Did Naresh Trehan Say India Will Declare Emergency? Nope,fake
"No, a Chinese Officer Did Not Say Coronavirus Was Created in a Lab",fake
Fact Check: Trump Misrepresents Obama’s Actions on H1N1,fake
WebQoof Recap: From Delhi Violence to Fake News Around Coronavirus,fake
Message on Coronavirus (COVID-19) Neither From UNICEF Nor Accurate,fake
Coronavirus: Wuhan Video Shared Falsely As People Crying for Help,fake
Hoax Website Claims China Planning to Kill Coronavirus Patients,fake
Video of Woman Collapsing Shared as ‘Death Due to Coronavirus’,fake
App Using Phone Camera for Measuring Oxygen Levels Not Reliable,fake
Viral Video of Amitabh Bachchan Thanking Nanavati Medics is Old,fake
Old Video From Texas Shared as ‘Bird Attack in Saudi Arabia’,fake
Mohan Bhagwat Never Said He Lost Faith in Religion Amid COVID-19,fake
Video From Kathua Passed Off as Residents Protesting in Surat,fake
Overcrowded Train Carries Migrants From Mumbai to WB? Video is Old,fake
Gujarat Woman Killed Daughters & Self Due to Hunger? Fake Alert!,fake
"Mumbai Under Military Lockdown From Sat? CM, Army Say Fake News",fake
Old Video of Boris Johnson Shared as Footage After COVID Recovery,fake
COVID-19: Another Fake Quote Attributed to Ratan Tata Goes Viral,fake
Muslims Threatening Cops to Open Mosques Amid COVID Lockdown? No!,fake
"Trump’s Bizarre Claims: ‘Disinfectant, Sunlight Can Kill COVID-19’",fake
WhatsApp Message on Raghuram Rajan’s COVID-19 Webinar is Fake,fake
Currency Notes Strewn in Indore to Spread COVID-19? It’s Fake News,fake
Bihar Confirms Chicken as COVID Source? Fake Clipping Goes Viral,fake
Video of Pak’s JUI-F Leader on Lockdown Being Shared as From India,fake
Video of Woman in Pak Quarantine Facility Falsely Shared as Indian,fake
Audio Blaming Kejriwal for Migrant Crisis Falsely Linked to Salve,fake
‘15 UP Districts To Be Sealed Entirely’? Fake Message Goes Viral,fake
BJP MP Falsely Claims COVID-Infected Tablighis Misbehaved in Wards,fake
Old Video Shared as ‘Train Supplying Essentials’ Amid Lockdown,fake
"Trupti Desai Buying Alcohol Amid Lockdown? No, It’s An Old Video",fake
Audio on COVID-19 ‘Cure’ Falsely Linked to Medanta Hospital’s MD,fake
Financial Year Changed to 1 July? Finance Ministry Says It’s Fake!,fake
Fake Audio Clip Shared to Claim 59 New COVID-19 Cases in Nagpur,fake
How  TikTok Influencers Are Fuelling Fake News on COVID-19,fake
"No, Image Of Cop Punishing Lockdown Violators is Not From India",fake
Is Govt Doing Enough to Fight Corona On Health & Economic Fronts?,fake
"Russia Using Lions to Make People Stay Indoors? No, it’s Fake News",fake
COVID-19 Fact Check: Trump Falsely Claims Drug Approval for Virus,fake
"No, Dr Devi Shetty Hasn’t Released an Audio Note on Coronavirus",fake
"No, PM Modi Isn’t Giving Free Masks Under Swachh Bharat Mission",fake
Coronavirus Is the Reason India Needs ‘Inter-Agency’ Systems,fake
Turmeric and Lemon Help Fight Coronavirus? Doctors Say No Proof,fake
Will Drinking Water Every 15 Minutes Save You From COVID-19?,fake
Unrelated Videos Used to Show Coronavirus Patients Killed in China,fake
"Wuhan Market Where Coronavirus Originated? No, This is Indonesia",fake
"FIT WebQoof: Can China’s Coronavirus Spread via Ice-Cream, Colas?",fake
App Using Phone Camera for Measuring Oxygen Levels Not Reliable,fake
Viral Video of Amitabh Bachchan Thanking Nanavati Medics is Old,fake
Old Video From Texas Shared as ‘Bird Attack in Saudi Arabia’,fake
Mohan Bhagwat Never Said He Lost Faith in Religion Amid COVID-19,fake
Video From Kathua Passed Off as Residents Protesting in Surat,fake
Overcrowded Train Carries Migrants From Mumbai to WB? Video is Old,fake
Gujarat Woman Killed Daughters & Self Due to Hunger? Fake Alert!,fake
"Mumbai Under Military Lockdown From Sat? CM, Army Say Fake News",fake
Old Video of Boris Johnson Shared as Footage After COVID Recovery,fake
COVID-19: Another Fake Quote Attributed to Ratan Tata Goes Viral,fake
Muslims Threatening Cops to Open Mosques Amid COVID Lockdown? No!,fake
"Trump’s Bizarre Claims: ‘Disinfectant, Sunlight Can Kill COVID-19’",fake
WhatsApp Message on Raghuram Rajan’s COVID-19 Webinar is Fake,fake
Currency Notes Strewn in Indore to Spread COVID-19? It’s Fake News,fake
Bihar Confirms Chicken as COVID Source? Fake Clipping Goes Viral,fake
Video of Pak’s JUI-F Leader on Lockdown Being Shared as From India,fake
Video of Woman in Pak Quarantine Facility Falsely Shared as Indian,fake
Audio Blaming Kejriwal for Migrant Crisis Falsely Linked to Salve,fake
‘15 UP Districts To Be Sealed Entirely’? Fake Message Goes Viral,fake
BJP MP Falsely Claims COVID-Infected Tablighis Misbehaved in Wards,fake
Old Video Shared as ‘Train Supplying Essentials’ Amid Lockdown,fake
"Trupti Desai Buying Alcohol Amid Lockdown? No, It’s An Old Video",fake
Audio on COVID-19 ‘Cure’ Falsely Linked to Medanta Hospital’s MD,fake
Financial Year Changed to 1 July? Finance Ministry Says It’s Fake!,fake
Fake Audio Clip Shared to Claim 59 New COVID-19 Cases in Nagpur,fake
How  TikTok Influencers Are Fuelling Fake News on COVID-19,fake
"No, Image Of Cop Punishing Lockdown Violators is Not From India",fake
Is Govt Doing Enough to Fight Corona On Health & Economic Fronts?,fake
"Russia Using Lions to Make People Stay Indoors? No, it’s Fake News",fake
COVID-19 Fact Check: Trump Falsely Claims Drug Approval for Virus,fake
"No, Dr Devi Shetty Hasn’t Released an Audio Note on Coronavirus",fake
"No, PM Modi Isn’t Giving Free Masks Under Swachh Bharat Mission",fake
Coronavirus Is the Reason India Needs ‘Inter-Agency’ Systems,fake
Turmeric and Lemon Help Fight Coronavirus? Doctors Say No Proof,fake
Will Drinking Water Every 15 Minutes Save You From COVID-19?,fake
Unrelated Videos Used to Show Coronavirus Patients Killed in China,fake
"Wuhan Market Where Coronavirus Originated? No, This is Indonesia",fake
"FIT WebQoof: Can China’s Coronavirus Spread via Ice-Cream, Colas?",fake
Bharat Biotech Vaccine Available From 15 August? Not So Fast!,fake
No Evidence to Suggest ‘Alcohol Consumption Cures COVID-19’,fake
"No, This Mumbai Constable Wasn’t Suffering From COVID-19",fake
"Sambit Patra Accuses Cong of ‘Bus Fraud’, But Gets His Facts Wrong",fake
Unrelated Clip Shared to Claim ‘Migrants Robbing People for Money’,fake
Old Video Used to Claim DMK Leader Assaulted Lady Doctor on Duty,fake
Viral Post on ‘Dr Devi Shetty’s 22 Steps Against COVID-19’ is Fake,fake
Video of Migrants Throwing Stale Food Shared with Misleading Claim,fake
100 Nurses in Jhalawar Resigned Over Misbehaviour by Jamaatis? No!,fake
"Aamir Khan Anonymously Donated Rs 15,000 in Wheat Sacks? Nope.",fake
Jammu Picture Passed Off as Navaratri in Delhi Amid COVID Lockdown,fake
Old Picture Used to Claim Pregnant Woman Tested Positive for COVID,fake
Hydroxychloroquine For COVID-19: Miracle Drug or Premature Claims?,fake
Old Image Used to Claim Thousands Flouted Lockdown in Kalaburgi,fake
Video of Man Violating Lockdown  in Dehradun Given Communal Spin,fake
Old Video From Pakistan Shared to Claim Tablighi Man Roaming Naked,fake
No Data to Support: Experts on Claims Kalonji Seeds Cure COVID-19,fake
WebQoof Recap: Of Communally Charged Claims and Alarmist Messages,fake
Action Against WhatsApp Admins Over COVID-19 Jokes? Hoax Alert!,fake
Old Video From Philippines Shared  With ‘Corona Jihad’ Spin,fake
"Rahul, Priyanka Gandhi Violating Lockdown? No, It’s an Old Video",fake
"COVID-19: No, MCI Hasn’t Asked Hospitals To Recruit MBBS Interns",fake
COVID-19: Message on Army Being Deployed in Telangana is False,fake
"No pH Value of COVID-19, Experts Deny Its Link With Alkaline Food",fake
Old Video Used to Claim ‘US Accepts Quran’ to Fight COVID-19,fake
Video of UK Patient Shared as Pak Doctor’s Appeal Before Death,fake
Photo of Couple at Airport Shared as Italian Doctors' Last Moments,fake
Old Heatwave Map Used as Sound Waves Recorded During Janata Curfew,fake
Fake Audio Clip on WHO Asking for 2 Month Lockdown Creates Panic,fake
WebQoof Recap: From COVID-19 Infodemic to BJP MP on Delhi Violence,fake
Coronavirus: How Tech Companies Are Dealing With Fake News & Lies,fake
"No, Trump Didn’t Say Roche Medical  Announced Vaccine for COVID-19",fake
Coronavirus Tracker: LIVE Number of COVID-19 Cases And Recoveries,fake
Daniel Radcliffe Tested Positive for Coronavirus? Here’s the Truth,fake
Dettol Products Work Against Novel Coronavirus? Here’s The Truth,fake
Video of Bats in Miami Roof Viral as Coronavirus’ Source in China,fake
FIT Webqoof: Did Coronavirus Come From Chicken?,fake
"Photo of People Who Died of Coronavirus? No, It’s an Art Project!",fake
Bharat Biotech Vaccine Available From 15 August? Not So Fast!,fake
No Evidence to Suggest ‘Alcohol Consumption Cures COVID-19’,fake
"No, This Mumbai Constable Wasn’t Suffering From COVID-19",fake
"Sambit Patra Accuses Cong of ‘Bus Fraud’, But Gets His Facts Wrong",fake
Unrelated Clip Shared to Claim ‘Migrants Robbing People for Money’,fake
Old Video Used to Claim DMK Leader Assaulted Lady Doctor on Duty,fake
Viral Post on ‘Dr Devi Shetty’s 22 Steps Against COVID-19’ is Fake,fake
Video of Migrants Throwing Stale Food Shared with Misleading Claim,fake
100 Nurses in Jhalawar Resigned Over Misbehaviour by Jamaatis? No!,fake
"Aamir Khan Anonymously Donated Rs 15,000 in Wheat Sacks? Nope.",fake
Jammu Picture Passed Off as Navaratri in Delhi Amid COVID Lockdown,fake
Old Picture Used to Claim Pregnant Woman Tested Positive for COVID,fake
Hydroxychloroquine For COVID-19: Miracle Drug or Premature Claims?,fake
Old Image Used to Claim Thousands Flouted Lockdown in Kalaburgi,fake
Video of Man Violating Lockdown  in Dehradun Given Communal Spin,fake
Old Video From Pakistan Shared to Claim Tablighi Man Roaming Naked,fake
No Data to Support: Experts on Claims Kalonji Seeds Cure COVID-19,fake
WebQoof Recap: Of Communally Charged Claims and Alarmist Messages,fake
Action Against WhatsApp Admins Over COVID-19 Jokes? Hoax Alert!,fake
Old Video From Philippines Shared  With ‘Corona Jihad’ Spin,fake
"Rahul, Priyanka Gandhi Violating Lockdown? No, It’s an Old Video",fake
"COVID-19: No, MCI Hasn’t Asked Hospitals To Recruit MBBS Interns",fake
COVID-19: Message on Army Being Deployed in Telangana is False,fake
"No pH Value of COVID-19, Experts Deny Its Link With Alkaline Food",fake
Old Video Used to Claim ‘US Accepts Quran’ to Fight COVID-19,fake
Video of UK Patient Shared as Pak Doctor’s Appeal Before Death,fake
Photo of Couple at Airport Shared as Italian Doctors' Last Moments,fake
Old Heatwave Map Used as Sound Waves Recorded During Janata Curfew,fake
Fake Audio Clip on WHO Asking for 2 Month Lockdown Creates Panic,fake
WebQoof Recap: From COVID-19 Infodemic to BJP MP on Delhi Violence,fake
Coronavirus: How Tech Companies Are Dealing With Fake News & Lies,fake
"No, Trump Didn’t Say Roche Medical  Announced Vaccine for COVID-19",fake
Coronavirus Tracker: LIVE Number of COVID-19 Cases And Recoveries,fake
Daniel Radcliffe Tested Positive for Coronavirus? Here’s the Truth,fake
Dettol Products Work Against Novel Coronavirus? Here’s The Truth,fake
Video of Bats in Miami Roof Viral as Coronavirus’ Source in China,fake
FIT Webqoof: Did Coronavirus Come From Chicken?,fake
"Photo of People Who Died of Coronavirus? No, It’s an Art Project!",fake
Pics of Cremation in UP Falsely Shared as Organ Trafficking Racket,fake
COVID Awareness Drive By Ajmer Police Shared With Misleading Claim,fake
Do Masks Help Prevent COVID-19? Here’s What Experts Have to Say,fake
TV9 Bharatvarsh Falsely Claims Tomato Virus Worse Than COVID-19,fake
Muslims Flouting Lockdown by Offering Namaz in Group? Clip is Old,fake
"India’s Roadmap for Exiting Lockdown in 5 Phases? Nope, Not Really",fake
"Cop Extorting Money from Migrant Caught on Cam? No, Video is Old",fake
TN Police’s COVID-19 Awareness Video Viral With Misleading Claim,fake
Is It Safe to Use Air Conditioners at Home? Experts Weigh In,fake
Mustard Oil  Helps Fight COVID? Ramdev’s Claim Lacks Medical Proof,fake
First Volunteer in UK COVID-19 Vaccine Trial Dead? Hoax Alert!,fake
Old Kumbh Mela Clip Viral as Maharashtra Sadhus Protesting Palghar,fake
Message on COVID Has Been Falsely Attributed to Ganga Ram Hospital,fake
"Hotels to Remain Closed Till 15 October? No, Circular is Fake",fake
Bandra Migrant Crisis: From Misreporting to False Communal Claims,fake
Andhra Temple Turned Into Quarantine Facility for Muslims? No,fake
"No, This Man Wasn’t Seen Spitting on Fruits in Delhi’s Bawana",fake
"No, Kenyan Govt Hasn’t Deployed Maasai Tribe to Implement Curfew",fake
900% Increase in Fact-Checks Around COVID-19 in 3 Months: Study,fake
A Priest’s Followers Thrashed Cop Amid COVID-19 Lockdown? No!,fake
"No, Maps Don’t Show ‘Satellite View’ After PM’s 9 PM Candle Call",fake
"No Lockdown Extension Announcement Yet, Fake Bulletin Goes Viral!",fake
"No, People Aren’t Throwing Money in Italy Amid Coronavirus Scare",fake
Fake Message Linked to MHA Claims Posting on COVID-19 is Illegal,fake
COVID-19: Fake Bulletin Used to Claim PM Ordered Internet Shutdown,fake
FIT WebQoof: Does COVID-19 Transfer by the Air?,fake
"Docs Say No Data to Claim Tea Can Cure COVID-19, It’s a Fake Msg",fake
"No, China’s Xinhua News Did Not Mock India’s Coronavirus Response",fake
COVID-19 Misinformation Is Keeping Fact-Checkers on Their Toes,fake
Viral Image of PM Modi’s Address With Lockdown Message Is Fake,fake
Morphed AajTak Pics Used to Say  Jat Community Immune to COVID-19,fake
"Chinese Police Crackdown on COVID-19 Patients? Nope, Video is Old",fake
Ronaldo Isn’t Turning Hotels to Hospitals for Coronavirus Patients,fake
FIT-WebQoof: Has Israel Discovered a Vaccine For Coronavirus?,fake
Corpses of Wuhan Coronavirus Patients Dumped on Roads? Fake Alert,fake
"Doctored Screenshots Claim China’s Coronavirus Deaths Over 24,000",fake
Old Video Shared as Chinese PM Praying Amid Coronavirus Scare,fake
Notification' on Coronavirus Neither From Health Min Nor Accurate,fake
Pics of Cremation in UP Falsely Shared as Organ Trafficking Racket,fake
COVID Awareness Drive By Ajmer Police Shared With Misleading Claim,fake
Do Masks Help Prevent COVID-19? Here’s What Experts Have to Say,fake
TV9 Bharatvarsh Falsely Claims Tomato Virus Worse Than COVID-19,fake
Muslims Flouting Lockdown by Offering Namaz in Group? Clip is Old,fake
"India’s Roadmap for Exiting Lockdown in 5 Phases? Nope, Not Really",fake
"Cop Extorting Money from Migrant Caught on Cam? No, Video is Old",fake
TN Police’s COVID-19 Awareness Video Viral With Misleading Claim,fake
Is It Safe to Use Air Conditioners at Home? Experts Weigh In,fake
Mustard Oil  Helps Fight COVID? Ramdev’s Claim Lacks Medical Proof,fake
First Volunteer in UK COVID-19 Vaccine Trial Dead? Hoax Alert!,fake
Old Kumbh Mela Clip Viral as Maharashtra Sadhus Protesting Palghar,fake
Message on COVID Has Been Falsely Attributed to Ganga Ram Hospital,fake
"Hotels to Remain Closed Till 15 October? No, Circular is Fake",fake
Bandra Migrant Crisis: From Misreporting to False Communal Claims,fake
Andhra Temple Turned Into Quarantine Facility for Muslims? No,fake
"No, This Man Wasn’t Seen Spitting on Fruits in Delhi’s Bawana",fake
"No, Kenyan Govt Hasn’t Deployed Maasai Tribe to Implement Curfew",fake
900% Increase in Fact-Checks Around COVID-19 in 3 Months: Study,fake
A Priest’s Followers Thrashed Cop Amid COVID-19 Lockdown? No!,fake
"No, Maps Don’t Show ‘Satellite View’ After PM’s 9 PM Candle Call",fake
"No Lockdown Extension Announcement Yet, Fake Bulletin Goes Viral!",fake
"No, People Aren’t Throwing Money in Italy Amid Coronavirus Scare",fake
Fake Message Linked to MHA Claims Posting on COVID-19 is Illegal,fake
COVID-19: Fake Bulletin Used to Claim PM Ordered Internet Shutdown,fake
FIT WebQoof: Does COVID-19 Transfer by the Air?,fake
"Docs Say No Data to Claim Tea Can Cure COVID-19, It’s a Fake Msg",fake
"No, China’s Xinhua News Did Not Mock India’s Coronavirus Response",fake
COVID-19 Misinformation Is Keeping Fact-Checkers on Their Toes,fake
Viral Image of PM Modi’s Address With Lockdown Message Is Fake,fake
Morphed AajTak Pics Used to Say  Jat Community Immune to COVID-19,fake
"Chinese Police Crackdown on COVID-19 Patients? Nope, Video is Old",fake
Ronaldo Isn’t Turning Hotels to Hospitals for Coronavirus Patients,fake
FIT-WebQoof: Has Israel Discovered a Vaccine For Coronavirus?,fake
Corpses of Wuhan Coronavirus Patients Dumped on Roads? Fake Alert,fake
"Doctored Screenshots Claim China’s Coronavirus Deaths Over 24,000",fake
Old Video Shared as Chinese PM Praying Amid Coronavirus Scare,fake
Notification' on Coronavirus Neither From Health Min Nor Accurate,fake
Unrelated Images Shared as Current Situation of Bihar’s COVID Ward,fake
"No, This is Not Bharat Biotech VP Being Injected With ‘Covaxin’",fake
"No, Govt Isn’t Giving Rs 5,000 For Free as COVID-19 as Relief Fund",fake
"Old Video Resurfaces, Claims to Show Saudi Mall Post Lockdown",fake
"Gadkari Says Corona an Artificial Virus, But Where’s The Evidence?",fake
Old Picture Used to Falsely Claim ‘KCR Distributing Ramzan Gifts’,fake
Pak Clip Passed Off as Air India  Flouting Social Distancing Norms,fake
WebQoof Recap: Trolls Target Safoora; Experts on AC During COVID,fake
2018 Image From UP Shared as Namaz Offered in TN Amid Lockdown,fake
WebQoof Recap: TISS Prof Falsely Targeted; Ramdev’s COVID-19 Cure,fake
"India Suing Bill Gates? No, Viral Facebook Post Makes False Claims",fake
"WebQoof Recap: HCQ as COVID-19 Cure, Virus Covered Notes & More",fake
"No, Germany Hasn’t Sent a £130 Bn Bill to China for COVID Damages",fake
Yet Another Mock Drill Shared as COVID-19 Case in Jail Premises,fake
Satyendar Jain Misquoted to Claim None From Markaz COVID Positive,fake
Tablighi Chief Donated Rs 1 Crore to PM’s Relief Fund? Fake Alert!,fake
Mock Drill Video Shared as COVID-19 Case in Bihar’s Hajipur Jail,fake
"Hoax: No, a COVID-19 Doctor Wasn’t Killed by an ‘Islamist’ Mob",fake
Old Video Shared as Call to Boycott Muslim Businesses in K’taka,fake
Video of Man Spitting at Subway Rider Falsely Linked to COVID-19,fake
Fake Memo on Disaster Management Act Says COVID-19 Posts Illegal,fake
"No, PM Modi Is Not Heading an International Task Force on COVID-19",fake
Dead COVID-19 Patients in Italy? Pictures are Old & Unrelated,fake
COVID-19: Old Video from Azerbaijan Shared as Lockdown in Spain,fake
WebQoof Recap: From COVID-19 Being Airborne to Misleading Cures,fake
Hot Water Gargles Cure COVID-19? Claim Not Medically Corroborated,fake
‘Beware of Rumours’: PM’s Warning Against COVID-19 Misinformation,fake
"COVID-19 Vaccine Ready, Can Cure Patients in 3 Hours? Fake Alert!",fake
Old Video Shared as COVID-19 Suspects Landing in Ethiopian Airport,fake
COVID-19: Advisory on PMO ‘Restricting Movement’ is From Malaysia,fake
"No, Chennai Hasn’t Shut Down Fruit Marts Because of  Coronavirus",fake
OpIndia Runs Fake News On Muslims Refusing to Be Tested in K’taka,fake
COVID-19: Blanket Holidays Declared In 4 States? Fake Alert!,fake
FIT WebQoof: Can Cow Dung or Cow Urine Treat COVID-19?,fake
FIT WebQoof: Did China Create the Wuhan Coronavirus in Its Lab?,fake
FIT WebQoof: Could Weed ‘Kill’ the Novel Coronavirus?,fake
"FIT Webqoof: No, Garlic Water Cannot ‘Cure’ Coronavirus",fake
Homeopathy For Coronavirus?  We Fact Check AYUSH Ministry Claims,fake
Unrelated Images Shared as Current Situation of Bihar’s COVID Ward,fake
"No, This is Not Bharat Biotech VP Being Injected With ‘Covaxin’",fake
"No, Govt Isn’t Giving Rs 5,000 For Free as COVID-19 as Relief Fund",fake
"Old Video Resurfaces, Claims to Show Saudi Mall Post Lockdown",fake
"Gadkari Says Corona an Artificial Virus, But Where’s The Evidence?",fake
Old Picture Used to Falsely Claim ‘KCR Distributing Ramzan Gifts’,fake
Pak Clip Passed Off as Air India  Flouting Social Distancing Norms,fake
WebQoof Recap: Trolls Target Safoora; Experts on AC During COVID,fake
2018 Image From UP Shared as Namaz Offered in TN Amid Lockdown,fake
WebQoof Recap: TISS Prof Falsely Targeted; Ramdev’s COVID-19 Cure,fake
"India Suing Bill Gates? No, Viral Facebook Post Makes False Claims",fake
"WebQoof Recap: HCQ as COVID-19 Cure, Virus Covered Notes & More",fake
"No, Germany Hasn’t Sent a £130 Bn Bill to China for COVID Damages",fake
Yet Another Mock Drill Shared as COVID-19 Case in Jail Premises,fake
Satyendar Jain Misquoted to Claim None From Markaz COVID Positive,fake
Tablighi Chief Donated Rs 1 Crore to PM’s Relief Fund? Fake Alert!,fake
Mock Drill Video Shared as COVID-19 Case in Bihar’s Hajipur Jail,fake
"Hoax: No, a COVID-19 Doctor Wasn’t Killed by an ‘Islamist’ Mob",fake
Old Video Shared as Call to Boycott Muslim Businesses in K’taka,fake
Video of Man Spitting at Subway Rider Falsely Linked to COVID-19,fake
Fake Memo on Disaster Management Act Says COVID-19 Posts Illegal,fake
"No, PM Modi Is Not Heading an International Task Force on COVID-19",fake
Dead COVID-19 Patients in Italy? Pictures are Old & Unrelated,fake
COVID-19: Old Video from Azerbaijan Shared as Lockdown in Spain,fake
WebQoof Recap: From COVID-19 Being Airborne to Misleading Cures,fake
Hot Water Gargles Cure COVID-19? Claim Not Medically Corroborated,fake
‘Beware of Rumours’: PM’s Warning Against COVID-19 Misinformation,fake
"COVID-19 Vaccine Ready, Can Cure Patients in 3 Hours? Fake Alert!",fake
Old Video Shared as COVID-19 Suspects Landing in Ethiopian Airport,fake
COVID-19: Advisory on PMO ‘Restricting Movement’ is From Malaysia,fake
"No, Chennai Hasn’t Shut Down Fruit Marts Because of  Coronavirus",fake
OpIndia Runs Fake News On Muslims Refusing to Be Tested in K’taka,fake
COVID-19: Blanket Holidays Declared In 4 States? Fake Alert!,fake
FIT WebQoof: Can Cow Dung or Cow Urine Treat COVID-19?,fake
FIT WebQoof: Did China Create the Wuhan Coronavirus in Its Lab?,fake
FIT WebQoof: Could Weed ‘Kill’ the Novel Coronavirus?,fake
"FIT Webqoof: No, Garlic Water Cannot ‘Cure’ Coronavirus",fake
Homeopathy For Coronavirus?  We Fact Check AYUSH Ministry Claims,fake
Old Blood Donors' List Viral as Plasma Donors Amid COVID Pandemic,fake
"No, Nostradamus Did Not Predict The Spread of Novel Coronavirus",fake
‘Plandemic’ – 26-Min Film on COVID-19 Conspiracy Theories Debunked,fake
"Old, Unrelated Clip  Viral as Migrants Stranded at Delhi-UP Border",fake
Fungus on Leather Goods in Malaysian Mall Claimed to Be From India,fake
2017 Image of Rohingya in B’desh Shared as Migrants Walking Home,fake
PNB Staff Test Positive for COVID-19? Video Taken Out of Context,fake
IANS Falls for Satire; Claims Imran Read COVID Curve Upside Down,fake
Old Video From Pak Shared as Women Flouting Norms Amid Lockdown,fake
Old Video Used for False Claim of Muslims Flouting Lockdown in Guj,fake
Nobel Laureate Tasuku Honjo Didn’t Say COVID-19 Was Made in China,fake
"US Students Sing India’s National Anthem to Thank For HCQ? Uh, No.",fake
Tricolour on Matterhorn to Thank India For HCQ Supply? Fake Claim!,fake
Message Claiming Vinay Dubey’s Father’s Name is Mahmood is False,fake
"People Violating Lockdown in Gujarat? No, Image is from Malaysia",fake
"Punjab’s Golden Temple Bearing PPEs, Ventilators’ Cost? Fake News!",fake
"No, Ratan Tata Did Not Say ‘Economy Will Bounce Back’ After Corona",fake
Old Video Shared as Man Killing Self After Losing Kin to COVID-19,fake
Video of Mock Drill by UP Police Shared With a ‘Corona Jihad’ Spin,fake
"No, WHO Has Not Released a Global Lockdown Timeline For COVID-19",fake
Video of Man 'Spitting on Food’ Does Not Show 'Corona Jihad',fake
Possible Cures & False Advisories: Fake News in Times of COVID-19,fake
Unverified Message Claims Israel Has Found the Cure For COVID-19,fake
"Bodies of COVID-19 Victims Being Dumped in Italy? No, a Film Scene",fake
COVID-19 Strain Less Virulent in India? Experts Deny Swamy’s Claim,fake
"4G Internet Being Restored in Jammu? No, the Order Is Fake",fake
Film Scene Shared as Mass Graves in Italy Due to COVID-19 Deaths,fake
Justin Trudeau’s Wife Releases Video Warning Against COVID-19? No!,fake
FIT WebQoof: Will 14 Hr Janta Curfew Make India COVID-19 ‘Safe’?,fake
Govt Spraying Medicine in the Air to Kill COVID-19? It’s Fake!,fake
"No, Amitabh Bachchan Did Not Say He Has Been Home Quarantined",fake
Muslims Rejoicing the Quran Ban Being Lifted in China? Fake Alert!,fake
COVID-19: Morphed Image Used to Claim ‘Wilson’ Gifted to Tom Hanks,fake
FIT WebQoof: Will You Get COVID-19 From Chinese Products on Holi?,fake
"MythBusters: No, Eating Spicy Food Will Not Give You Coronavirus",fake
"China Govt Killing Pigs Over Fear of Coronavirus? No, Video is Old",fake
Facts Twisted to Link Bill & Melinda Gates to Coronavirus Outbreak,fake
"Ramdev Infected With Coronavirus? No, Image Is Old & Unrelated",fake
Old Blood Donors' List Viral as Plasma Donors Amid COVID Pandemic,fake
"No, Nostradamus Did Not Predict The Spread of Novel Coronavirus",fake
‘Plandemic’ – 26-Min Film on COVID-19 Conspiracy Theories Debunked,fake
"Old, Unrelated Clip  Viral as Migrants Stranded at Delhi-UP Border",fake
Fungus on Leather Goods in Malaysian Mall Claimed to Be From India,fake
2017 Image of Rohingya in B’desh Shared as Migrants Walking Home,fake
PNB Staff Test Positive for COVID-19? Video Taken Out of Context,fake
IANS Falls for Satire; Claims Imran Read COVID Curve Upside Down,fake
Old Video From Pak Shared as Women Flouting Norms Amid Lockdown,fake
Old Video Used for False Claim of Muslims Flouting Lockdown in Guj,fake
Nobel Laureate Tasuku Honjo Didn’t Say COVID-19 Was Made in China,fake
"US Students Sing India’s National Anthem to Thank For HCQ? Uh, No.",fake
Tricolour on Matterhorn to Thank India For HCQ Supply? Fake Claim!,fake
Message Claiming Vinay Dubey’s Father’s Name is Mahmood is False,fake
"People Violating Lockdown in Gujarat? No, Image is from Malaysia",fake
